photo_number,id_number,collection_date,acclimation_time_h,water_type,temperature_c,exposure_time_s,colony_id,initial_weight_g,post_acclimation_weight_g,48hr_weight,final_weight_g,initial_rgb,sd_initial_rgb,initial_red,sd_initial_red,initial_green,sd_initial_green,initial_blue,sd_initial_blue,48hr_rgb,sd_48hr_rbg,48hr_red,sd_48hr_red,48hr_green,sd_48hr_green,48hr_blue,sd_48hr_blue,3wks_rgb,sd_3wks_rbg,3wks_red,sd_3wks_red,3wks_green,sd_3wks_green,3wks_blue,sd_3wks_blue,final_rgb,attachment,mold_cover,id_number,mortality (does it fall apart/sludge),final_weight_g,survival
2,f_12_30_1,Oct 22,48,freshwater,12,30,1,7.11,10.3,8.2,,155.908,81.881,197.511,17.402,111.386,28.141,33.149,39.259,150.046,87.629,205.979,20.759,106.961,29.97,22.234,36.146,,,,,,,,,,1,0,f_12_30_1,0,7.33,1
3,f_12_30_2,Oct 22,48,freshwater,12,30,2,6.73,11.5,7.23,,158.667,85.744,204.238,15.993,102.538,24.937,17.044,28.156,158.673,86.892,209.892,20.719,101.582,27.852,21.615,30.554,172.646,80.161,208.043,21.261,122.778,32.748,39.511,36.605,,1,0,f_12_30_2,0,6.46,1
4,f_12_30_3,Oct 22,48,freshwater,12,30,3,6.62,8.7,8.6,,153.224,70.355,186.962,17.631,104.745,26.088,41.784,28.794,173.9,77.538,195.907,21.573,106.158,30.384,40.596,33.611,,,,,,,,,,1,0,f_12_30_3,0,7.77,1
5,f_12_30_4,Oct 22,48,freshwater,12,30,4,6.66,7.91,7.1,,168.58,86.44,187.62,26.539,91.299,26.517,25.488,28.356,174.41,83.868,201.213,29.872,109.867,30.048,38.074,35.005,,,,,,,,,,0,3,f_12_30_4,1,1.96,0
6,f_12_30_5,Oct 22,48,freshwater,12,30,5,7.15,8.16,8.58,,153.203,75.427,161.26,24.084,83.803,24.757,29.815,28.045,175.651,71.884,185.204,15.684,106.267,22.061,48.523,29.423,,,,,,,,,,0,2,f_12_30_5,1,2.19,0
7,f_12_60_1,Oct 22,48,freshwater,12,60,1,7.13,10.7,10.4,,172.258,69.413,178.733,22.937,95.122,23.512,25.5,27.64,175.41,83.228,200.004,22.37,105.143,31.875,29.359,38.107,,,,,,,,,,1,1,f_12_60_1,0,8.69,1
8,f_12_60_2,Oct 22,48,freshwater,12,60,2,6.85,9.3,9.3,,134.381,86.693,207.347,19.416,103.797,23.087,15.097,26.23,127.761,85.638,195.831,25.416,91.428,28.428,15.903,28.403,,,,,,,,,,1,0,f_12_60_2,0,7.52,1
9,f_12_60_3,Oct 22,48,freshwater,12,60,3,6.9,9.1,8.1,,163.509,75.473,180.07,22.387,103.627,24.663,39.958,28.948,136.34,82.305,184.311,36.376,100.15,32.15,32.581,33.326,,,,,,,,,,0,4,f_12_60_3,1,1.63,0
10,f_12_60_4,Oct 22,48,freshwater,12,60,4,7.22,9.63,9.4,,157.234,73.95,158.031,29.933,84.081,23.892,24.886,25.15,158.302,81.86,182.541,30.104,97.1,25.903,25.116,27.958,,,,,,,,,,0,5,f_12_60_4,1,1.62,0
11,f_12_60_5,Oct 22,48,freshwater,12,60,5,6.75,7.43,6.83,,174.428,73.132,182.956,16.827,105.701,22.245,36.958,31.345,158.057,72.777,190.499,23.674,116.138,28.008,41.824,30.238,,,,,,,,,,0,1,f_12_60_5,1,1.19,0
12,f_50_30_1,Oct 22,48,freshwater,50,30,1,6.74,9.89,9.2,,174.214,73.769,182.224,16.509,104.301,21.068,35.409,30.046,176.119,72.144,183.938,21.261,115.946,28.537,57.784,34.006,,,,,,,,,,0,5,f_50_30_1,1,1.04,0
13,f_50_30_2,Oct 22,48,freshwater,50,30,2,6.54,10,10.06,,134.679,77.525,195.87,16.524,103.604,21.679,21.175,25.079,163.79,71.081,202.54,13.107,119.223,22.694,50.757,31.331,,,,,,,,,,0,5,f_50_30_2,1,4.46,0
14,f_50_30_3,Oct 22,48,freshwater,50,30,3,7.2,10.3,9.2,,148.214,78.431,196.315,15.795,95.374,24.966,23.782,30.081,161.987,81.081,211.545,16.702,109.969,26.981,33.184,32.624,,,,,,,,,,0,0,f_50_30_3,1,6.39,0
15,f_50_30_4,Oct 22,48,freshwater,50,30,4,7.27,11.97,10.41,,175.503,70.196,181.643,24.207,100.185,24.815,30.986,27.626,173.555,75.247,186.558,24.618,110.5,26.71,50.459,31.235,,,,,,,,,,0,5,f_50_30_4,1,4.26,0
16,f_50_30_5,Oct 22,48,freshwater,50,30,5,7.19,7.9,8.11,,139.899,72.819,173.047,20.136,96.498,27.383,37.505,29.857,142.514,77.808,178.929,21.111,101.065,32.814,42.795,39.666,,,,,,,,,,0,0,f_50_30_5,1,2.04,0
17,f_50_60_1,Oct 22,48,freshwater,50,60,1,7.47,12.09,10.1,,161.99,76.995,196.396,16.728,111.202,27.908,35.96,36.641,164.09,77.728,196.448,19.266,107.912,25.508,37.569,32.478,,,,,,,,,,0,4,f_50_60_1,1,8.99,0
18,f_50_60_2,Oct 22,48,freshwater,50,60,2,7.43,11.88,9.7,,164.882,83.303,210.618,13.208,110.367,24.719,21.757,31.51,154.416,81.585,208.87,15.616,113.793,26.551,32.357,33.051,,,,,,,,,,0,1,f_50_60_2,1,4.87,0
19,f_50_60_3,Oct 22,48,freshwater,50,60,3,6.88,10.41,9.8,,172.286,72.657,195.26,24.022,102.174,27.797,27.703,30.181,160.589,78.868,175.402,19.777,92.334,23.823,30.74,28.214,,,,,,,,,,0,4,f_50_60_3,1,4.32,0
20,f_50_60_4,Oct 22,48,freshwater,50,60,4,7.47,9.3,8.4,,168.787,76.804,179.79,35.955,101.769,32.031,31.817,30.773,158.806,75.683,185.846,26.594,102.799,26.909,35.039,33.651,,,,,,,,,,0,5,f_50_60_4,1,4.67,0
21,f_50_60_5,Oct 22,48,freshwater,50,60,5,7.49,8.15,8.6,,142.555,76.778,172.397,16.755,87.303,24.532,32.571,28.675,138.402,74.019,176.14,13.826,95.749,22.542,42.485,29.976,,,,,,,,,,0,5,f_50_60_5,1,2.85,0
22,f_70_30_1,Oct 22,48,freshwater,70,30,1,7.15,10.71,9.3,,151.241,73.428,182.113,20.035,106.67,28.98,38.237,37.017,150.742,68.072,181.776,23.026,120.432,24.84,65.775,29.616,,,,,,,,,,0,5,f_70_30_1,1,3.59,0
23,f_70_30_2,Oct 22,48,freshwater,70,30,2,6.64,9.88,9.1,,155.434,85.757,200.729,19.342,100.199,28.055,17.558,31.529,164.937,70.274,200.754,22.017,132.287,27.88,63.712,31.421,,,,,,,,,,0,5,f_70_30_2,1,1.85,0
24,f_70_30_3,Oct 22,48,freshwater,70,30,3,7.11,7.94,8.11,,162.666,78.78,188.754,19.093,88.638,25.148,22.286,30.35,180.863,74.791,205.686,18.995,117.812,22.842,38.97,28.236,,,,,,,,,,0,5,f_70_30_3,1,5.2,0
25,f_70_30_4,Oct 22,48,freshwater,70,30,4,6.94,9,9.4,,150.664,73.974,162.873,27.367,85.364,27.895,23.755,32.322,175.845,72.274,179.182,30.998,115.363,28.338,56.057,28.601,,,,,,,,,,0,3,f_70_30_4,1,3.58,0
26,f_70_30_5,Oct 22,48,freshwater,70,30,5,7.3,7.37,7.26,,163.737,71.107,195.229,12.347,113.799,23.384,40.355,32.969,175.665,69.826,191.205,19.566,117.172,22.186,42.763,29.51,,,,,,,,,,0,2,f_70_30_5,1,3.41,0
27,f_70_60_1,Oct 22,48,freshwater,70,60,1,6.86,9.06,10.24,,145.322,81.988,196.586,17.466,106.215,24.914,29.123,35.149,159.495,74.434,200.862,18.744,119.782,23.126,55.291,28.037,,,,,,,,,,0,3,f_70_60_1,1,4.34,0
28,f_70_60_2,Oct 22,48,freshwater,70,60,2,6.53,11.1,9.4,,170.924,79.243,219.249,12.411,119.564,24.536,23.357,31.492,193.183,68.988,217.014,14.113,140.091,24.224,63.075,29.916,,,,,,,,,,0,5,f_70_60_2,1,3.48,0
29,f_70_60_3,Oct 22,48,freshwater,70,60,3,7.1,12.07,10.6,,171.426,78.102,206.589,21.491,114.651,32.372,34.063,37.002,151.472,71.675,199.311,20.768,121.141,25.617,51.693,30.537,,,,,,,,,,0,1,f_70_60_3,1,4.22,0
30,f_70_60_4,Oct 22,48,freshwater,70,60,4,6.54,7.5,8.2,,186.438,73.215,205.422,16.335,112.765,24.634,28.358,32.241,183.675,66.822,195.785,19.604,120.68,24.487,47.027,29.939,,,,,,,,,,0,5,f_70_60_4,1,4.6,0
31,f_70_60_5,Oct 22,48,freshwater,70,60,5,7.37,8.22,7.68,,168.7,70.619,178.723,22.249,96.283,24.648,38.727,27.704,189.945,66.053,167.29,19.328,101.865,20.924,50.017,24.82,,,,,,,,,,0,1,f_70_60_5,1,4.34,0
32,f_90_30_1,Oct 22,48,freshwater,90,30,1,6.66,8.54,8.3,,150.669,73.841,182.525,22.721,98.559,29.357,28.367,34.011,150.118,71.657,199.303,20.053,125.263,25.129,54.645,29.956,,,,,,,,,,0,5,f_90_30_1,1,8.93,0
33,f_90_30_2,Oct 22,48,freshwater,90,30,2,6.5,10.6,9,,163.215,83.409,202.336,22.845,101.021,31.552,21.799,33.236,146.169,74.324,202.889,20.991,124.891,25.891,45.817,30.259,,,,,,,,,,0,5,f_90_30_2,1,2.9,0
34,f_90_30_3,Oct 22,48,freshwater,90,30,3,6.7,7.1,7.33,,174.103,70.629,166.711,36.704,77.568,28.188,18.731,26.665,200.298,69.898,187.321,34.337,105.286,27.109,33.591,27.074,,,,,,,,,,0,4,f_90_30_3,1,3.41,0
35,f_90_30_4,Oct 22,48,freshwater,90,30,4,7.22,9.2,9.2,,137.091,75.289,150.69,22.48,76.339,23.248,19.978,22.413,165.791,70.991,166.901,23.467,108.039,22.304,47.333,26.616,,,,,,,,,,0,5,f_90_30_4,1,3.61,0
36,f_90_30_5,Oct 22,48,freshwater,90,30,5,6.75,7.33,6.93,,144.818,76.873,179.3,18.297,92.396,24.286,34.744,27.518,160.082,72.726,172.368,19.731,104.209,24.663,46.584,28.852,,,,,,,,,,0,2,f_90_30_5,1,2.61,0
37,f_90_60_1,Oct 22,48,freshwater,90,60,1,6.94,11.72,10.7,,134.802,76.58,181.462,16.993,96.246,24.953,25.996,30.331,167.271,78.137,188.659,23.666,115.027,25.526,46.745,28.036,,,,,,,,,,0,5,f_90_60_1,1,1.59,0
38,f_90_60_2,Oct 22,48,freshwater,90,60,2,6.95,8.9,8.79,,165.29,80.655,179.386,29.363,94.115,29.037,24.571,33.611,176.188,78.976,208.074,22.569,126.346,25.37,45.869,29.905,,,,,,,,,,0,5,f_90_60_2,1,3.2,0
39,f_90_60_3,Oct 22,48,freshwater,90,60,3,6.7,8.87,8.4,,181.892,66.375,190.707,20.966,99.234,24.688,29,28.446,175.198,72.011,194.064,24.587,116.468,26.381,44.17,29.893,,,,,,,,,,0,4,f_90_60_3,1,4.21,0
40,f_90_60_4,Oct 22,48,freshwater,90,60,4,7.2,10.4,11.44,,151.486,79.793,179.612,24.563,97.042,26.834,28.6,30.697,143.751,70.543,176.009,24.167,107.733,24.933,44.237,28.203,,,,,,,,,,0,5,f_90_60_4,1,4.47,0
41,f_90_60_5,Oct 22,48,freshwater,90,60,5,6.95,7.65,7.52,,179.7,67.027,165.31,17.44,88.248,22.382,34.469,26.002,167.594,71.371,164.819,21.76,99.117,26.202,45.7,31.266,,,,,,,,,,0,4,f_90_60_5,1,3.43,0
42,s_12_30_1,Oct 22,48,seawater,12,30,1,7.26,9.3,9.17,,156.905,82.365,179.058,29.341,100.193,29.936,32.714,35.403,153.643,86.771,186.201,37.137,97.334,34.185,23.931,34.376,,,,,,,,,,1,3,s_12_30_1,1,4.84,0
43,s_12_30_2,Oct 22,48,seawater,12,30,2,6.97,11.7,11.6,,158.062,88.352,208.439,17.957,100.384,25.285,13.506,26,157.715,90.492,223.946,19.968,106.486,27.924,16.077,29.594,,,,,,,,,,1,1,s_12_30_2,0,7.86,1
44,s_12_30_3,Oct 22,48,seawater,12,30,3,7.2,9.4,8.5,,138.169,76.973,182.232,21.377,94.995,27.561,28.409,29.706,133.803,80.846,185.629,20.297,90.302,23.583,21.974,26.959,,,,,,,,,,0,3,s_12_30_3,1,0.76,0
45,s_12_30_4,Oct 22,48,seawater,12,30,4,7.39,9.91,10.53,,141.565,79.218,169.337,38.928,86.566,29.628,26.384,27.316,152.106,82.558,198.011,23.572,95.664,27.169,22.448,28.975,,,,,,,,,,1,0,s_12_30_4,0,8.77,1
46,s_12_30_5,Oct 22,48,seawater,12,30,5,6.87,8.66,8.46,,127.672,73.472,162.542,19.542,88.432,24.645,,29.508,147.601,71.342,178.195,29.129,107.364,32.122,56.746,39.803,,,,,,,,,,0,3,s_12_30_5,1,0.35,0
47,s_12_60_1,Oct 22,48,seawater,12,60,1,7.06,8.7,8.47,,147.953,63.277,181.637,18.323,115.201,24.082,59.76,26.479,155.36,71.077,207.075,19.309,128.118,32.627,61.918,39.076,,,,,,,,,,1,4,s_12_60_1,0,3.29,1
48,s_12_60_2,Oct 22,48,seawater,12,60,2,7.4,10.37,8.65,,167.017,80.404,201.574,16.687,112.35,27.409,27.505,32.026,149.327,87.44,217.084,19.171,103.867,26.307,18.293,28.878,,,,,,,,,,1,0,s_12_60_2,0,5.53,1
49,s_12_60_3,Oct 22,48,seawater,12,60,3,6.66,8.6,9.9,,152.743,75.973,191.44,18.177,99.168,24.411,29.66,28.84,152.055,83.821,190.363,21.832,100.833,24.176,28.321,28.665,,,,,,,,,,1,4,s_12_60_3,0,5.89,1
50,s_12_60_4,Oct 22,48,seawater,12,60,4,7.1,9.54,8.23,,136.532,83.111,188.851,24.097,94,28.873,22.7,31.558,134.837,81.762,205.441,19.503,104.174,23.71,29.487,30.264,,,,,,,,,,0,5,s_12_60_4,1,1.83,0
51,s_12_60_5,Oct 22,48,seawater,12,60,5,6.86,7.21,7,,136.168,69.487,172.566,15.763,93.875,21.264,36.149,25.558,157.986,81.024,194.527,21.904,108.838,26.843,42.01,33.09,,,,,,,,,,0,5,s_12_60_5,1,2.61,0
52,s_50_30_1,Oct 22,48,seawater,50,30,1,7.2,9.5,10.5,,127.463,78.652,163.989,31.001,87.801,29.786,20.711,29.56,138.385,78.931,178.181,32.244,100.76,28.085,28.704,26.828,,,,,,,,,,0,5,s_50_30_1,0,5.53,1
53,s_50_30_2,Oct 22,48,seawater,50,30,2,7.1,10.3,13.39,,178.875,83.173,203.934,23.399,103.38,27.916,20.962,30.733,170.456,81.721,204.435,22.376,113.764,26.912,33.048,30.449,,,,,,,,,,0,5,s_50_30_2,1,5.78,0
54,s_50_30_3,Oct 22,48,seawater,50,30,3,7,11.6,13.94,,185.986,65.3,181.882,19.516,101.045,26.81,34.947,31.303,150.211,76.972,184.105,23.634,105.527,29.607,37.892,32.074,,,,,,,,,,0,5,s_50_30_3,0,9.24,1
55,s_50_30_4,Oct 22,48,seawater,50,30,4,7.5,11.64,14.31,,148.076,75.016,174.568,19.011,94.019,24.536,28.142,30.527,142.6,81.66,180.652,22.149,99.631,26.242,29.617,30.738,,,,,,,,,,0,4,s_50_30_4,1,7.56,0
56,s_50_30_5,Oct 22,48,seawater,50,30,5,7.44,8.39,7.58,,151.639,71.604,186.76,20.166,104.326,26.642,34.411,29.552,157.563,80.698,191.93,20.672,102.677,25.842,28.113,27.487,,,,,,,,,,0,1,s_50_30_5,0,3.86,1
57,s_50_60_1,Oct 22,48,seawater,50,60,1,7.32,11.17,12.59,,158.725,75.353,197.892,18.362,117.296,28.38,46.836,34.603,172.407,78.384,186.03,25.426,104.897,30.293,36.069,34.389,,,,,,,,,,0,5,s_50_60_1,1,2.5,0
58,s_50_60_2,Oct 22,48,seawater,50,60,2,6.96,10.08,9.9,,141.27,83.594,199.889,20.181,99.659,27.789,20.683,28.259,148.649,86.776,212.512,22.592,112.95,29.958,26.81,34.979,,,,,,,,,,0,5,s_50_60_2,1,6.62,0
59,s_50_60_3,Oct 22,48,seawater,50,60,3,7.8,10.31,12.74,,126.665,75.025,173.16,22.72,83.69,26.671,23.643,29.69,146.379,82.623,203.064,19.381,106.472,27.328,30.197,35.679,,,,,,,,,,0,2,s_50_60_3,0,7.53,1
60,s_50_60_4,Oct 22,48,seawater,50,60,4,7,9.93,10.1,,145.448,76.324,160.721,23.958,87.74,22.641,26.506,25.722,172.006,77.14,173.57,25.498,105.066,28.833,45.144,35.522,,,,,,,,,,0,5,s_50_60_4,1,5.61,0
61,s_50_60_5,Oct 22,48,seawater,50,60,5,7.29,7.73,7.69,,136.826,68.524,176.038,17.975,98.026,23.324,36.162,25.347,142.608,74.286,173.95,17.665,100.065,24.135,39.397,29.64,,,,,,,,,,0,0,s_50_60_5,1,4.42,0
62,s_70_30_1,Oct 22,48,seawater,70,30,1,7.19,10.39,8.45,,147.721,76.815,182.607,19.301,96.904,28.715,30.196,33.054,170.31,73.191,186.561,20.444,117.398,26.587,55.59,32.989,,,,,,,,,,0,5,s_70_30_1,1,2.1,0
63,s_70_30_2,Oct 22,48,seawater,70,30,2,7.04,11.09,9.05,,167.759,79.588,195.228,20.448,99.279,28.185,19.763,29.492,151.123,69.475,193.153,22.053,123.158,28.448,59.31,32.263,,,,,,,,,,0,5,s_70_30_2,1,1.11,0
64,s_70_30_3,Oct 22,48,seawater,70,30,3,6.87,12.18,9.4,,143.535,73.538,182.257,17.641,96.906,24.69,30.247,27.884,147.521,69.208,185.212,20.413,114.864,24.64,54.739,29.049,,,,,,,,,,0,5,s_70_30_3,1,3.08,0
65,s_70_30_4,Oct 22,48,seawater,70,30,4,7.3,9.9,9.2,,137.035,74.244,178.887,20.278,97.744,29.432,37.736,37.708,142.363,71.776,180.898,25.042,111.446,26.733,49.279,29.779,,,,,,,,,,0,5,s_70_30_4,1,5.4,0
66,s_70_30_5,Oct 22,48,seawater,70,30,5,6.9,7.3,6.99,,157.594,76.072,178.998,17.736,98.761,22.697,37.827,26.906,175.765,73.255,182.062,17.415,113.851,18.156,48.775,23.373,,,,,,,,,,0,5,s_70_30_5,1,5.03,0
67,s_70_60_1,Oct 22,48,seawater,70,60,1,7.28,10.23,9.26,,147.858,75.798,191.827,15.929,100.796,23.065,30.3,28.805,164.989,73.693,206.759,19.672,127.957,27.878,60.251,33.705,,,,,,,,,,0,4,s_70_60_1,1,3.51,0
68,s_70_60_2,Oct 22,48,seawater,70,60,2,7.18,11.7,9.9,,172.782,82.106,208.146,16.673,107.598,26.012,18.766,31.416,170.456,75.338,206.875,17.294,123.593,26.82,47.715,33.931,,,,,,,,,,0,0,s_70_60_2,1,6.18,0
69,s_70_60_3,Oct 22,48,seawater,70,60,3,7.2,9.65,10.18,,162.625,73.342,182.696,21.179,96.405,24.189,28.078,28.269,154.762,74.704,182.37,26.98,111.099,29.005,49.032,33.36,,,,,,,,,,0,5,s_70_60_3,1,5.01,0
70,s_70_60_4,Oct 22,48,seawater,70,60,4,7.45,10.4,10.6,,143.15,77.382,180.374,19.927,92.297,22.214,23.7,29.198,177.391,73.747,180.495,25.625,113.473,26.146,52.069,29.031,,,,,,,,,,0,2,s_70_60_4,1,4.38,0
71,s_70_60_5,Oct 22,48,seawater,70,60,5,7.49,8.91,8.28,,135.978,71.409,171.718,21.187,93.073,25.676,36.019,29.001,176.885,79.984,179.705,22.919,103.772,30.608,45.533,34.701,,,,,,,,,,0,2,s_70_60_5,1,4.24,0
72,s_90_30_1,Oct 22,48,seawater,90,30,1,6.88,8.3,7.67,,149.415,73.581,196.301,13.868,111.793,26.071,37.743,31.177,168.344,75.84,210.985,14.034,133.048,24.431,55.551,32.572,,,,,,,,,,0,3,s_90_30_1,1,1.59,0
73,s_90_30_2,Oct 22,48,seawater,90,30,2,6.9,9.49,9.2,,141.652,82.43,190.531,20.895,97.876,25.812,25.561,31.334,157.966,79.473,201.678,28.963,117.44,30.457,40.985,33.845,,,,,,,,,,0,3,s_90_30_2,1,3.64,0
74,s_90_30_3,Oct 22,48,seawater,90,30,3,7.32,11.96,10.41,,168.337,72.347,182.357,25.923,98.881,29.257,33.924,32.97,175.565,69.119,190.608,29.313,120.616,29.06,53.211,30.69,,,,,,,,,,0,0,s_90_30_3,1,1.08,0
75,s_90_30_4,Oct 22,48,seawater,90,30,4,7.4,10.4,9.2,,175.027,69.445,171.566,26.816,92.529,25.638,26.838,30.622,197.987,62.961,186.164,29.076,121.728,27.696,52.351,29.814,,,,,,,,,,0,4,s_90_30_4,1,0.59,0
76,s_90_30_5,Oct 22,48,seawater,90,30,5,7.2,8.2,7.67,,146.54,76.067,159.724,18.951,85.492,27.368,33.77,32.315,143.19,69.064,166.12,19.076,101.559,23.163,47.594,25.554,,,,,,,,,,0,5,s_90_30_5,1,1.16,0
77,s_90_60_1,Oct 22,48,seawater,90,60,1,7.06,9.27,8.8,,139.187,73.967,186.027,18.486,106.038,25.793,38.982,32.899,153.241,70.989,195.573,24.916,124.534,27.18,57.352,29.907,,,,,,,,,,0,3,s_90_60_1,1,0.96,0
78,s_90_60_2,Oct 22,48,seawater,90,60,2,6.89,10.6,8.9,,166.849,83.411,210.209,16.246,110.45,28.438,23.965,34.954,152.847,81.511,215.76,17.877,125.903,27.108,35.996,37.297,,,,,,,,,,0,5,s_90_60_2,1,0.37,0
79,s_90_60_3,Oct 22,48,seawater,90,60,3,7.11,10.69,9.28,,148.648,70.166,184.124,15.865,105.491,25.823,43.84,31.411,179.496,77.134,201.465,23.866,124.684,29.678,52.162,36.912,,,,,,,,,,0,5,s_90_60_3,1,2.83,0
80,s_90_60_4,Oct 22,48,seawater,90,60,4,7.5,10.8,10.8,,145.961,78.377,159.187,28.02,83.491,28.771,22.608,28.001,156.52,72.099,167.293,25.743,104.281,26.724,46.057,31.064,,,,,,,,,,0,3,s_90_60_4,1,5.36,0
81,s_90_60_5,Oct 22,48,seawater,90,60,5,7.45,9.6,8.62,,115.523,67.636,164.379,20.18,90.299,25.129,34.509,26.706,158.263,78.403,169.772,21.42,103.829,27.549,47.521,31.315,,,,,,,,,,0,3,s_90_60_5,1,3.64,0